entry_idx,exit_idx,side,entry_price,exit_price,pnl_pct,pnl_usd,holding_candles,exit_reason,entry_prob
0,48,SHORT,106836.9,106158.2,0.6352674029291351,56.562473358923484,48,Max Hold,0.55540323
64,66,SHORT,105710.0,105578.1,0.12477532872953757,8.101593841585428,2,ML Exit,0.6917096
97,108,SHORT,105693.9,105425.2,0.2542246998171106,20.487808070065206,11,ML Exit,0.56359315
158,206,SHORT,106017.9,106855.4,-0.7899609405581511,-79.53281735719402,48,Max Hold,0.5819209
210,258,SHORT,106844.0,107563.5,-0.6734117030436899,-67.82499646691026,48,Max Hold,0.5679755
263,270,SHORT,107438.3,107187.2,0.2337155371967034,18.29291156611894,7,ML Exit,0.5501116
297,334,SHORT,107994.2,109131.2,-1.052834318880088,-103.38327450478891,37,ML Exit,0.5834684
340,369,SHORT,109214.2,109199.6,0.01336822501102537,-2.4925021303471135,29,ML Exit,0.6035986
380,394,SHORT,109195.9,109084.8,0.1017437467890198,5.779699161359411,14,ML Exit,0.55739623
403,404,SHORT,108817.1,108682.7,0.12350999980702364,7.821513974476343,1,ML Exit,0.5660119
433,434,SHORT,108778.2,108777.8,0.00036772073815725877,-3.713784104458553,1,ML Exit,0.5743977
435,440,SHORT,108693.4,108519.6,0.15989931311375702,11.234076581689106,5,ML Exit,0.551369
443,491,SHORT,108672.1,109423.1,-0.691069740991478,-68.57097147674054,48,Max Hold,0.5616496
520,561,SHORT,109887.6,108710.8,1.0709124596405808,96.02494347469249,41,ML Exit,0.5788969
564,566,SHORT,109198.0,109285.6,-0.08022124947343891,-11.306931547837237,2,ML Exit,0.5646665
572,590,SHORT,110036.6,109420.1,0.5602681289679978,48.87986088075489,18,ML Exit,0.5609606
590,591,SHORT,109420.1,109421.4,-0.001188081531627515,-3.887988529847268,1,ML Exit,0.6877316
591,594,SHORT,109421.4,109294.6,0.11588226800240937,7.162322388440814,3,ML Exit,0.65900534
594,596,SHORT,109294.6,109234.3,0.055171984709219773,1.433679693776333,2,ML Exit,0.6305664
596,597,SHORT,109234.3,109241.8,-0.006865975247701501,-4.426159058983227,1,ML Exit,0.5950099
597,598,SHORT,109241.8,109190.2,0.04723466658367568,0.6838305076316007,1,ML Exit,0.57064396
615,617,SHORT,109579.2,109402.3,0.161435746930069,11.467139984415478,2,ML Exit,0.5550183
621,669,SHORT,109581.8,109714.6,-0.12118800749759806,-15.236738052226338,48,Max Hold,0.5772522
671,691,SHORT,109739.5,109526.1,0.1944605178627515,14.579920683613585,20,ML Exit,0.55052775
694,700,SHORT,109544.0,109414.9,0.11785218724896464,7.359826683555638,6,ML Exit,0.55266243
718,726,SHORT,109451.9,109126.6,0.29720818003158317,24.331653020715155,8,ML Exit,0.5520526
737,738,SHORT,109306.8,109245.7,0.055897711761762135,1.5082958519794394,1,ML Exit,0.5728006
758,770,SHORT,109065.3,108762.1,0.27799859350315553,22.57293805573268,12,ML Exit,0.65093946
773,788,SHORT,108860.9,108803.1,0.0530952803072438,1.2455470495422212,15,ML Exit,0.5525326
809,848,SHORT,108987.6,108700.0,0.26388323075286163,21.28488500847874,39,ML Exit,0.55815035
857,859,SHORT,108544.4,108357.8,0.17191121789792127,12.567972550715412,2,ML Exit,0.5733305
861,869,SHORT,108139.1,107993.7,0.13445645469585815,9.010929988471645,8,ML Exit,0.6824271
870,872,SHORT,107774.5,107922.1,-0.13695261866211936,-16.893833447347333,2,ML Exit,0.6223739
872,876,SHORT,107922.1,107785.8,0.1262947996749534,8.225928369678424,4,ML Exit,0.6116933
877,879,SHORT,107722.0,107612.8,0.10137205027756363,5.855220687666978,2,ML Exit,0.5541742
879,882,SHORT,107612.8,107678.8,-0.06133099408248833,-9.671131312191028,3,ML Exit,0.6807344
882,883,SHORT,107678.8,107635.7,0.04002644903175539,0.0032847913458144973,1,ML Exit,0.5888194
883,886,SHORT,107635.7,107641.2,-0.005109828802153932,-4.300760368793561,3,ML Exit,0.62490743
886,887,SHORT,107641.2,107544.1,0.09020709542442046,4.786292083214207,1,ML Exit,0.56361836
917,923,SHORT,107602.3,107455.5,0.13642831054726795,9.19629021774574,6,ML Exit,0.5668987
926,929,SHORT,107520.2,107250.1,0.2512086101030237,20.160343506566306,3,ML Exit,0.5780918
942,990,SHORT,107746.4,108012.9,-0.24734005034042902,-27.480502818631887,48,Max Hold,0.5513025
1002,1012,SHORT,107951.9,107830.1,0.11282802803840263,6.94703541559781,10,ML Exit,0.65306306
1059,1097,SHORT,108076.1,107877.5,0.1837594065663045,13.721897299157108,38,ML Exit,0.5738755
1118,1166,SHORT,108074.6,108122.8,-0.04459882340531179,-8.084810788832145,48,Max Hold,0.5520123
1172,1220,SHORT,108026.6,108065.5,-0.036009649475216454,-7.258057628240756,48,Max Hold,0.5807637
1220,1268,SHORT,108065.5,108168.4,-0.09522002859376413,-12.903245945531916,48,Max Hold,0.6159383
1316,1364,SHORT,108013.0,108011.4,0.001481303176474888,-3.670343482422089,48,Max Hold,0.5988166
1370,1418,SHORT,107981.2,108014.1,-0.030468266698285194,-6.712907426998331,48,Max Hold,0.5544484
1438,1486,SHORT,108946.4,108865.5,0.07425669870688172,3.262288779650092,48,Max Hold,0.6180243
1488,1496,SHORT,108812.6,108363.9,0.4123603332702386,35.46415519080041,8,ML Exit,0.59678024
1500,1501,SHORT,108567.8,108485.9,0.07543673170130438,3.3876806620943354,1,ML Exit,0.5596908
1513,1561,SHORT,108754.8,109087.9,-0.3062853317738539,-33.10709676484897,48,Max Hold,0.5666611
1563,1567,SHORT,109040.7,108880.6,0.14682590995838368,10.180634326763478,4,ML Exit,0.6553967
1569,1572,SHORT,108871.4,108650.7,0.20271623217851253,15.522389902212584,3,ML Exit,0.56239027
1575,1576,SHORT,108866.7,108811.3,0.0508879207324133,1.0409771956919087,1,ML Exit,0.60508
1576,1577,SHORT,108811.3,108865.8,-0.05008670974430045,-8.606854672970504,1,ML Exit,0.6012291
1620,1630,SHORT,109146.2,108974.4,0.15740355596438807,11.208855304491108,10,ML Exit,0.55924976
1633,1681,SHORT,109043.5,108720.7,0.29602864911709814,24.470159517835945,48,Max Hold,0.61921185
1699,1702,SHORT,108619.4,108587.7,0.02918447349184132,-1.0354194663873342,3,ML Exit,0.55125546
