side,entry_timestamp,exit_timestamp,entry_price,exit_price,entry_prob,position_size_pct,pnl_gross,pnl_net,pnl_pct,exit_reason,hold_time,fees,candle_idx
SHORT,2025-09-19 07:10:00,2025-09-19 15:10:00,116749.7,115470.3,0.7454799,0.4220041,184.98104835868799,168.1933743015685,3.9855862461720313,ml_exit_short,96,16.787674057119485,206
SHORT,2025-09-21 17:50:00,2025-09-22 01:45:00,115568.2,114558.0,0.76906866,0.447383,159.05680981818296,140.94003134482068,3.098211791825088,ml_exit_short,95,18.116778473362267,909
SHORT,2025-09-22 03:45:00,2025-09-22 06:00:00,114562.4,112427.5,0.7446357,0.42111763,323.60931349126986,306.40568669178225,7.0578306669552875,ml_exit_short,27,17.203626799487594,960
LONG,2025-09-22 09:35:00,2025-09-22 11:05:00,112201.9,112828.1,0.73296416,0.40901887,96.93000750137799,79.51371910467228,1.8312880619669532,ml_exit_long,18,17.41628839670571,1021
LONG,2025-09-22 13:35:00,2025-09-22 14:05:00,112513.8,113171.7,0.66743267,0.3468892,86.77363577807046,71.89025579829247,1.9377436367805372,ml_exit_long,6,14.883379979777985,1057
SHORT,2025-09-22 17:40:00,2025-09-23 01:40:00,112425.0,112203.2,0.7115135,0.38756952,32.930677451746305,16.255387098350894,0.3895428952635256,emergency_max_hold,96,16.67529035339541,1196
LONG,2025-09-23 02:50:00,2025-09-23 04:00:00,111705.8,112355.9,0.9119952,0.62398416,156.63384032075191,129.64134336659365,1.9267366600480662,ml_exit_long,14,26.99249695415827,1224
SHORT,2025-09-23 10:00:00,2025-09-23 18:00:00,112835.0,111934.6,0.70789546,0.38405484,133.77737389864706,117.07974683275987,2.793513360216211,emergency_max_hold,96,16.697627065887197,1392
LONG,2025-09-23 20:30:00,2025-09-23 21:30:00,111483.5,112046.5,0.6663893,0.34598494,77.08809719282908,61.78480912398974,1.6190198549561126,ml_exit_long,12,15.303288068839345,1434
LONG,2025-09-23 23:20:00,2025-09-24 01:50:00,111823.4,112407.8,0.7972767,0.47922197,111.11495398572515,89.79784287162232,1.6893938120286556,ml_exit_long,30,21.317111114102826,1486
LONG,2025-09-24 04:00:00,2025-09-24 04:55:00,111520.8,112120.4,0.8491449,0.54175854,130.27817214820243,105.98233596321968,1.74955488124183,ml_exit_long,11,24.29583618498275,1523
LONG,2025-09-24 08:10:00,2025-09-24 15:00:00,112468.0,113636.2,0.71594477,0.39191523,183.79662488737085,166.00977810049386,3.7527044136998673,ml_exit_long,82,17.78684678687698,1644
SHORT,2025-09-24 18:35:00,2025-09-25 02:05:00,113604.2,112657.2,0.70905507,0.38517803,147.10082015518856,129.52783308577918,2.93605095586253,ml_exit_short,90,17.572987069409372,1777
SHORT,2025-09-25 02:45:00,2025-09-25 05:50:00,112978.7,111686.6,0.73494333,0.4110496,217.80892212208346,198.87303990273722,4.17695494814509,ml_exit_short,37,18.93588221934624,1822
SHORT,2025-09-25 07:00:00,2025-09-25 13:05:00,111498.8,110851.4,0.72390485,0.39983398,109.41008231763044,90.62157931690365,1.92369747477108,ml_exit_short,73,18.7885030007268,1909
LONG,2025-09-25 13:10:00,2025-09-25 13:25:00,111210.9,111560.7,0.7053436,0.3815942,57.000282743931166,38.849847942162086,0.8575209804075244,ml_exit_long,3,18.15043480176908,1913
LONG,2025-09-25 13:30:00,2025-09-25 14:15:00,111500.2,111612.3,0.9090305,0.6199547,29.696926883127162,0.14404731483477207,0.001950669146815492,ml_exit_long,9,29.55287956829239,1923
LONG,2025-09-25 14:20:00,2025-09-25 14:20:00,111654.7,111654.7,0.72525775,0.40119404,0.0,-19.115308143547903,-0.4,ml_exit_long,0,19.115308143547903,1924
LONG,2025-09-25 14:25:00,2025-09-25 14:30:00,111442.9,111668.3,0.8487492,0.5412627,52.076156700702995,26.30247920984034,0.4086196608308629,ml_exit_long,1,25.773677490862656,1926
LONG,2025-09-25 14:35:00,2025-09-25 14:45:00,111405.0,111486.9,0.89907116,0.6065254,21.257736896764982,-7.66886485305524,-0.10608482563622339,ml_exit_long,2,28.92660174982022,1929
LONG,2025-09-25 14:50:00,2025-09-25 15:55:00,111369.5,111524.3,0.9749282,0.71286774,47.20879532730032,13.221237885685369,0.15570905858427408,ml_exit_long,13,33.98755744161495,1943
LONG,2025-09-25 16:00:00,2025-09-25 16:05:00,111448.1,111564.9,0.8311725,0.5195234,25.96966479177354,1.1769727788954114,0.01899897799958597,ml_exit_long,1,24.792692012878128,1945
LONG,2025-09-25 16:10:00,2025-09-25 19:00:00,111472.8,109796.9,0.86674845,0.56409967,-404.54698815312076,-431.2532327693102,-6.410657487745937,ml_exit_long,34,26.706244616189473,1980
LONG,2025-09-25 20:35:00,2025-09-25 23:00:00,109079.8,109596.3,0.7463484,0.42291775,92.0703228064267,72.57992675894272,1.4930791952313331,ml_exit_long,29,19.490396047483983,2028
SHORT,2025-09-25 23:05:00,2025-09-26 00:40:00,109626.8,108759.4,0.75253665,0.42947406,157.22119743989242,137.42932525384919,2.7665019867404714,ml_exit_short,19,19.791872186043236,2048
SHORT,2025-09-26 01:15:00,2025-09-26 09:15:00,109684.5,109568.0,0.7110726,0.3871396,19.25082525486505,1.1358400008196519,0.02506735226943576,emergency_max_hold,96,18.114985254045397,2151
SHORT,2025-09-26 09:35:00,2025-09-26 17:35:00,109436.7,109861.4,0.80491024,0.48810747,-88.69067807590545,-111.58883817686802,-1.9530890459964625,emergency_max_hold,96,22.898160100962563,2251
SHORT,2025-09-26 18:25:00,2025-09-26 19:30:00,110134.7,108963.7,0.7264582,0.40240425,198.41680868401818,179.85455193091232,3.8551003453044874,ml_exit_short,13,18.562256753105856,2274
LONG,2025-09-26 19:35:00,2025-09-27 03:35:00,109054.9,109638.2,0.88507843,0.5879394,148.09760982810985,120.33494447931915,1.7384031345680402,emergency_max_hold,96,27.7626653487907,2371
LONG,2025-09-27 05:30:00,2025-09-27 13:30:00,109566.4,109257.7,0.6667148,0.34626672,-46.41463924649361,-62.86530601024282,-1.526424341768996,emergency_max_hold,96,16.45066676374921,2490
SHORT,2025-09-28 13:25:00,2025-09-28 21:25:00,109431.9,110667.6,0.7525823,0.4295227,-229.52958060755554,-249.9711707697843,-4.919040060530849,emergency_max_hold,96,20.441590162228735,2873
LONG,2025-09-28 23:10:00,2025-09-28 23:35:00,112055.9,112082.8,0.7337656,0.40984017,4.5576528748788405,-14.430198248294133,-0.3040245091958661,ml_exit_long,5,18.987851123172973,2899
LONG,2025-09-29 08:05:00,2025-09-29 14:40:00,112005.8,114012.0,0.76262754,0.44033796,364.911487055022,344.3560859238025,6.7610466600836086,ml_exit_long,79,20.555401131219547,3080
